Frame,ts,capsfilter0,queue0,vaapipostproc0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,funnel0,tee1
59,6834087632,0.10968,3.373288,4.931165,0.216458,3.389699,0.475687,0.180471,0.111998,0.069887,,
60,6874414258,0.108958,0.256188,1.808042,0.213059,3.542235,0.587164,0.211076,0.13116,0.082811,,
61,6903415281,0.106515,0.786033,1.83445,0.212368,5.054521,0.545855,0.538727,0.166022,0.083016,,
62,6938034690,0.126639,0.308979,2.449931,0.23273,5.332817,0.672924,0.744776,0.226691,0.111865,,
63,6972034132,0.144757,0.246971,1.788041,0.209613,5.276852,0.645504,0.562419,0.282732,0.234166,,
64,7003247609,,,,,3.618236,0.492603,0.233804,0.120127,0.076383,,
65,7017373005,,,,,,,,0.12792,0.143492,,
66,7017857914,0.105131,0.240834,1.7509,0.85106,4.666668,0.495213,0.419343,0.093295,0.073319,,
67,7039256916,0.147398,0.418902,1.866579,0.281074,5.306384,1.142978,0.687669,0.137316,0.073648,,
68,7074559871,0.125142,0.304387,1.802671,0.242748,5.105072,0.610714,0.373368,0.249134,0.137179,,
69,7106804250,0.113338,0.24907,1.783362,0.209255,4.148774,0.503425,0.320184,0.161726,0.094006,,
70,7139360043,0.098271,0.227587,1.737953,0.236743,4.27014,1.096907,0.528666,0.131983,0.073346,,
71,7174114587,0.112485,0.267048,2.454665,0.218722,5.122712,6.641643,6.805249,0.250972,0.151584,,
72,7221477371,0.11378,0.312586,1.770102,0.220859,4.60791,0.545515,1.42613,0.365115,0.093446,,
73,7242468251,0.130319,0.332599,2.356442,0.248557,4.92186,0.649638,0.467628,0.300652,0.090768,,
74,7276401761,0.229897,0.253765,1.813965,0.216102,4.414211,0.512074,0.331965,0.182619,0.155995,,
75,7308708302,0.104335,0.237215,1.738467,0.202671,4.812885,0.752835,0.428914,0.143801,0.083973,,
76,7343053124,0.113869,0.267272,1.790533,0.22659,4.684326,0.581262,0.370928,0.197941,0.091081,,
77,7376538432,0.113913,0.269383,1.755418,0.219952,4.621066,0.672134,0.439799,0.157818,0.088779,,
78,7410403179,0.118914,0.29498,1.828113,0.23323,4.664539,0.60505,0.381328,0.179108,0.103247,,
79,7444197687,0.107778,0.237436,1.745931,0.208009,4.935446,0.973423,0.618318,0.163659,0.095189,,
80,7478523586,0.106351,0.249946,1.80281,0.211867,4.720919,0.515569,0.346418,0.148542,0.078443,,
81,7511517266,0.106088,0.248809,1.79364,0.209719,4.361261,1.109336,0.572522,0.140232,0.077937,,
82,7546354377,0.148021,0.381497,2.472707,0.276283,5.146212,0.903657,0.880261,0.254212,0.152585,,
83,7581516656,0.10763,0.262269,1.768114,0.225462,5.076857,0.543227,0.466072,0.246112,0.137136,,
84,7618319430,0.106932,0.250872,1.761996,0.211065,4.875419,1.164449,0.476567,0.166916,0.089054,,
85,7647544323,0.104648,0.234926,1.79318,0.200081,5.339764,0.818618,5.656845,0.141297,0.119136,,
86,7687788320,0.104132,0.233852,1.737513,0.199333,4.749916,2.22694,3.064738,1.066931,0.365561,,
87,7719320712,0.102588,0.231506,2.372949,0.199192,5.176708,13.326115,0.574409,0.669356,0.356132,,
88,7761970436,0.108772,0.254671,1.753934,0.21001,5.256758,0.57302,0.493028,0.155005,0.078931,,
