Timestamp_ns,Delta_ns,Delta_sec
14910054339,43067706.0,0.043067706
14935336979,25282640.0,0.02528264
14936033098,696119.0,0.000696119
14937403183,1370085.0,0.001370085
14941016520,3613337.0,0.003613337
14947557755,6541235.0,0.006541235
14948279824,722069.0,0.000722069
14948588563,308739.0,0.000308739
14948760267,171704.0,0.000171704
14949061791,301524.0,0.000301524
14955691364,6629573.0,0.006629573
14970491257,14799893.0,0.014799893
15002320086,31828829.0,0.031828829
15027055050,24734964.0,0.024734964
15027764285,709235.0,0.000709235
15031639262,3874977.0,0.003874977
15038231201,6591939.0,0.006591939
15038958921,727720.0,0.00072772
15039325951,367030.0,0.00036703
15039502803,176852.0,0.000176852
15039578499,75696.0,7.5696e-05
15040959857,1381358.0,0.001381358
15047314397,6354540.0,0.00635454
15067467223,20152826.0,0.020152826
15109924396,42457173.0,0.042457173
15114475123,4550727.0,0.004550727
15119888350,5413227.0,0.005413227
15120775889,887539.0,0.000887539
15124784515,4008626.0,0.004008626
15131013678,6229163.0,0.006229163
15131696824,683146.0,0.000683146
15132009908,313084.0,0.000313084
15132127601,117693.0,0.000117693
15132198676,71075.0,7.1075e-05
15138158980,5960304.0,0.005960304
15140536674,2377694.0,0.002377694
15181628375,41091701.0,0.041091701
15205907060,24278685.0,0.024278685
15211170551,5263491.0,0.005263491
15211731534,560983.0,0.000560983
15215780454,4048920.0,0.00404892
15222468862,6688408.0,0.006688408
15223195864,727002.0,0.000727002
15223524091,328227.0,0.000328227
15223799901,275810.0,0.00027581
15223876691,76790.0,7.679e-05
15230520175,6643484.0,0.006643484
15235546474,5026299.0,0.005026299
15278241490,42695016.0,0.042695016
15302048889,23807399.0,0.023807399
15302784951,736062.0,0.000736062
15306508972,3724021.0,0.003724021
15307673774,1164802.0,0.001164802
15314288513,6614739.0,0.006614739
15315009842,721329.0,0.000721329
15315362906,353064.0,0.000353064
15315542922,180016.0,0.000180016
15315616283,73361.0,7.3361e-05
15322079693,6463410.0,0.00646341
15341970103,19890410.0,0.01989041
15370509524,28539421.0,0.028539421
15393098533,22589009.0,0.022589009
15393850134,751601.0,0.000751601
15397673356,3823222.0,0.003823222
15404082386,6409030.0,0.00640903
15404856027,773641.0,0.000773641
15405221439,365412.0,0.000365412
15405397443,176004.0,0.000176004
15405513162,115719.0,0.000115719
15409918487,4405325.0,0.004405325
15413635835,3717348.0,0.003717348
15438201353,24565518.0,0.024565518
15481835574,43634221.0,0.043634221
15484742854,2907280.0,0.00290728
15485161638,418784.0,0.000418784
15489026139,3864501.0,0.003864501
15495232806,6206667.0,0.006206667
15495959689,726883.0,0.000726883
15496233279,273590.0,0.00027359
15496408943,175664.0,0.000175664
15496480188,71245.0,7.1245e-05
15503731120,7250932.0,0.007250932
15509835628,6104508.0,0.006104508
15542226043,32390415.0,0.032390415
15574665180,32439137.0,0.032439137
15575413822,748642.0,0.000748642
15579339175,3925353.0,0.003925353
15581336063,1996888.0,0.001996888
15585783798,4447735.0,0.004447735
15586469497,685699.0,0.000685699
15586809709,340212.0,0.000340212
15586980378,170669.0,0.000170669
15587150528,170150.0,0.00017015
15594646953,7496425.0,0.007496425
15606240448,11593495.0,0.011593495
15642081743,35841295.0,0.035841295
15666065119,23983376.0,0.023983376
15666788136,723017.0,0.000723017
15670581410,3793274.0,0.003793274
15674161014,3579604.0,0.003579604
15676960941,2799927.0,0.002799927
15677689049,728108.0,0.000728108
15677972779,283730.0,0.00028373
15678152201,179422.0,0.000179422
15678263214,111013.0,0.000111013
15686085491,7822277.0,0.007822277
15717690318,31604827.0,0.031604827
15746088758,28398440.0,0.02839844
15757359122,11270364.0,0.011270364
15758276353,917231.0,0.000917231
15762049174,3772821.0,0.003772821
15768519927,6470753.0,0.006470753
15769326130,806203.0,0.000806203
15769694076,367946.0,0.000367946
15769867853,173777.0,0.000173777
15769939280,71427.0,7.1427e-05
15776528850,6589570.0,0.00658957
15785637817,9108967.0,0.009108967
15810020743,24382926.0,0.024382926
15847409019,37388276.0,0.037388276
15848176380,767361.0,0.000767361
15849708316,1531936.0,0.001531936
15853104518,3396202.0,0.003396202
15861051902,7947384.0,0.007947384
15861724220,672318.0,0.000672318
15862429182,704962.0,0.000704962
15862644980,215798.0,0.000215798
15862760856,115876.0,0.000115876
15867721661,4960805.0,0.004960805
15882044848,14323187.0,0.014323187
15910155536,28110688.0,0.028110688
15938597229,28441693.0,0.028441693
15939364838,767609.0,0.000767609
15943109776,3744938.0,0.003744938
15949824259,6714483.0,0.006714483
15950750534,926275.0,0.000926275
15951478603,728069.0,0.000728069
15952087644,609041.0,0.000609041
15952300749,213105.0,0.000213105
15952376012,75263.0,7.5263e-05
15959171825,6795813.0,0.006795813
15975534762,16362937.0,0.016362937
15975447219,-87543.0,-8.7543e-05
16010192388,34745169.0,0.034745169
16030581191,20388803.0,0.020388803
16031378609,797418.0,0.000797418
16035522592,4143983.0,0.004143983
16042605628,7083036.0,0.007083036
16043334394,728766.0,0.000728766
16043736323,401929.0,0.000401929
16043916723,180400.0,0.0001804
16043990370,73647.0,7.3647e-05
16050276825,6286455.0,0.006286455
