Frame,ts,rtpsession0,rtpstorage0,rtpssrcdemux0,rtpjitterbuffer0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
93,757477150,,,,12.362683,0.065536,0.064288,,,,,,,,
94,757722526,,,,12.414171,0.049855,0.050016,,,,,,,,
95,757990333,,,,12.366683,0.050016,0.061632,,,,,,,,
96,758208636,,,,12.407899,0.048032,0.04896,,,,,,,,
97,758432219,,,,12.442428,0.051104,0.047839,,,,,,,,
98,758664443,,,,12.460187,0.06336,0.0624,,,,,,,,
99,758904314,,,,12.531739,0.050272,0.050688,,,,,,,,
100,759131129,,,,12.555643,0.048096,0.049887,,,,,,,,
101,759351833,,,,12.539995,0.048352,0.05616,,,,,,,,
102,759599320,,,,12.587707,0.052768,0.057696,,,,,,,,
103,759836471,,,,12.648346,0.045408,0.048864,,,,,,,,
104,760071127,0.088256,0.096672,0.0696,12.651515,0.047999,0.063104,0.181248,,,,,,,
105,763183341,0.062432,0.080927,0.061664,,,,,,,,,,,
106,763457805,0.057792,0.070816,0.080127,,,,,,,,,,,
107,789042913,0.147935,0.16624,0.073919,,,,,,,,,,,
108,789720127,0.064064,0.119328,0.069439,,,,,,,,,,,
109,790018494,0.057984,0.077888,0.064704,166.578323,0.071392,0.140415,,49.763596,0.18768,,,,,
110,914647468,,,,166.680401,0.054176,0.059136,,,,,,,,
111,914889516,,,,166.684978,0.079199,0.054624,,,,,,,,
112,915179787,,,,166.698098,0.056064,0.056224,0.055839,0.304607,0.304896,,,,,
113,916163752,,,,167.411568,0.068096,0.064768,,,,,,,,
114,916439975,,,,167.452591,0.059424,0.059616,,,,,,,,
115,916701702,,,,167.449135,0.05744,0.058368,0.073472,0.218911,0.041696,,,,,
116,917331876,,,,154.541365,0.06144,0.059808,,,,,,,,
117,917693859,,,,154.37967,0.062336,0.069184,,,,,,,,
118,917967202,,,,154.368695,0.061824,0.060575,0.05536,0.217407,0.043168,,,,,
119,918602977,,,,129.398369,0.065055,0.087776,,,,,,,,
120,918939008,,,,129.08413,0.059231,0.065312,,,,,,,,
121,919205471,,,,129.063617,0.057856,0.058656,0.053247,0.230752,0.044608,118.583456,0.325791,,,
122,929300897,,,,,,,,,,13.33692,,181.798021,,
123,929784383,,,,,,,,,,12.423291,,,,
124,929828671,,,,,,,,,,11.439422,0.312159,167.419792,,
125,930441885,,,,,,,,,,10.536352,0.313599,0.069472,,
126,949262246,0.123872,0.166879,0.333503,0.084416,0.094655,0.149568,,,,,0.475807,,18.275082,3.052247
127,1182699410,0.075456,0.101024,0.111743,0.068544,0.0776,0.08688,,,,,,,,
128,1183749998,0.09488,0.105631,0.055008,,,,,,,,,,,
129,1183848366,0.028128,0.039936,0.129664,0.04336,0.118815,0.115072,,,,,,,,
130,1184361069,0.044448,0.215583,0.048384,0.231807,0.086751,0.0808,,,,,,,,
131,1184788843,0.030655,0.213696,0.046368,0.04944,0.087584,0.085983,,,,,,,,
132,1185246250,0.040928,0.270175,0.053024,0.165183,0.08336,0.084544,,,,,,,,
133,1185742473,0.09376,0.096384,0.056992,0.12816,0.078207,0.099296,,,,,,,,
134,1186488774,0.114047,0.118944,0.052192,0.049344,0.081696,0.072127,,,,,,,,
135,1199236160,0.0936,0.100032,0.097471,0.057664,0.06896,0.100959,,,,,,,,
136,1201099771,0.051968,0.062336,0.057984,0.057536,0.10976,0.087232,,,,,,,,
137,1201331770,0.028,0.0352,0.023104,0.214367,0.085567,0.0824,,,,,,,,
138,1201827993,0.041216,0.073824,0.055775,0.446719,0.122143,0.083008,,,,,,,,
139,1202331863,0.04576,0.045056,0.027776,0.291008,0.087808,0.083263,,,,,,,,
140,1202908886,0.029408,0.037503,0.047616,0.062304,,0.084351,,,,,,,,
141,1203077621,0.025888,0.036768,0.065088,0.287743,0.084384,0.079392,,,,,,,,
142,1203576148,0.044832,0.054239,0.038112,0.496286,0.077888,,,,,,,,,
143,1203749011,0.036032,0.04752,0.054976,0.372127,0.104288,0.077504,,,,,,,,
144,1204159154,0.039392,0.060288,0.039168,,0.077408,0.07536,,,,,,,,
145,1204394641,0.035648,0.044576,0.036448,0.514462,0.091072,0.093792,,,,,,,,
146,1204821392,,,,0.490206,0.072896,0.072576,,,,,,,,
147,1205143343,0.0688,0.079935,0.052256,0.639262,0.077408,0.072992,0.101023,1.39958,0.075456,,,,,
148,1206867722,0.048928,0.063648,0.052032,,,,,,,,,,,
149,1207098729,0.048479,0.06176,0.094176,0.721406,0.087936,0.096672,,,,,,,,
150,1207573320,,,,0.56803,0.105631,0.085536,,,,,,,,
151,1207945191,0.104128,0.092447,0.055712,0.675102,0.079487,0.077184,0.075456,0.300895,0.055168,12.580635,1.849882,,,
152,1221383007,0.051199,0.089792,0.076704,0.062336,0.079808,0.101088,,,,,0.125215,0.239328,,
153,1221740638,0.02848,0.037408,0.051007,0.056384,,0.105375,,,,,,,,
154,1221929309,0.026336,0.032032,0.027328,,0.083296,,,,,,,,,
