Frame,ts,capsfilter0,queue0,videoconvert0,capsfilter1,vaapiencodeh264-0,queue1,pay0,rtpsession0,tee0,tee1,funnel0
60,8026956536,0.144815,0.286272,5.90714,0.246066,4.021853,0.67831,0.276733,0.126007,0.110932,,
61,8059468122,0.149653,0.317448,7.177332,0.244785,3.862568,0.622054,0.209843,0.11371,0.168266,,
62,8094209350,0.103481,0.324228,5.819948,0.250425,4.028515,0.613364,0.341585,0.161024,0.069142,,
63,8126906935,0.098164,0.320036,5.892357,0.288796,4.912585,0.761094,0.433437,0.167566,0.07243,,
64,8161861229,0.100504,0.317952,5.836752,0.295976,6.704922,0.704315,0.381679,0.160507,0.072815,,
65,8198132269,,,,,,,,0.162349,0.114797,,
66,8203404462,,,,,,,,0.171782,0.193795,,
67,8203996612,0.093581,0.946661,5.961832,0.253539,4.664407,0.329481,0.350227,0.090506,0.120725,,
68,8231758691,0.158604,0.696592,22.059742,0.747514,6.839866,0.629867,0.222982,0.11735,0.170282,,
69,8281886723,0.139978,0.441676,22.318705,0.672177,5.345367,0.618472,0.319029,0.154693,0.113099,,
70,8314163134,0.097026,0.506071,22.559231,0.742451,6.122162,0.487709,0.338292,0.156564,0.070267,,
71,8348877458,0.13546,0.30771,5.899475,0.272838,7.070332,0.780183,0.543025,0.158913,0.072242,,
72,8367250576,0.117906,0.481529,6.63109,0.342072,4.997296,0.569919,0.35881,0.170385,0.071982,,
73,8400867492,0.147655,0.28336,6.612958,0.334889,4.460474,0.503886,0.345436,0.165806,0.07252,,
74,8432091461,0.148297,0.277584,5.98013,0.294997,4.491793,0.273464,0.274232,0.16782,0.072858,,
75,8464904520,0.149138,0.273858,6.299309,0.26147,4.021795,0.624186,0.339076,0.115323,0.11767,,
76,8498968534,0.095151,0.306043,5.872886,0.29078,3.895526,0.62248,0.218226,0.166128,0.072006,,
77,8531928763,0.147115,0.263433,5.949781,0.241773,4.029962,0.689413,0.289004,0.160984,0.069456,,
78,8567222766,0.150011,0.319209,5.909601,0.327516,3.901744,1.644863,0.964574,0.15294,0.071907,,
79,8602036829,0.104174,0.331512,6.671453,0.291259,3.877772,1.243678,0.754543,0.446202,0.376843,,
80,8635783539,0.14793,0.271863,5.900212,0.240492,3.941682,1.677997,1.104002,0.410786,0.285784,,
81,8669572143,0.141776,0.268041,6.01907,0.284743,3.886355,0.664914,0.275385,0.456584,0.283198,,
82,8701023046,0.142731,0.267435,5.855566,0.288854,4.096985,0.658303,0.272301,0.111855,0.115043,,
83,8735328630,0.141626,0.267962,5.855071,0.298122,3.883594,0.626007,0.206332,0.113075,0.114812,,
84,8770772211,0.149622,0.271036,5.822865,0.34002,3.856699,0.618996,0.220302,0.164288,0.197693,,
85,8802260278,0.147468,0.277767,6.641937,0.285189,3.86961,0.615527,0.218343,0.161008,0.111687,,
86,8836724975,0.103787,0.834687,17.825061,0.792339,5.212897,0.474545,0.166051,0.162809,0.069478,,
87,8883810842,0.093749,0.425289,18.988626,0.717144,5.220569,0.47287,0.159169,0.108581,0.068571,,
88,8918405139,0.143861,0.318601,5.906147,0.247553,4.023677,0.679705,0.298145,0.232924,0.153907,,
89,8939175862,0.147755,0.267112,5.925156,0.252248,3.966774,0.655989,0.254093,0.158662,0.072139,0.099055,
90,8971253445,0.102694,0.313148,6.705656,0.288505,3.858837,0.606104,0.206615,0.175304,0.114034,,
91,9005633180,0.138656,0.275497,5.833343,0.296552,3.905327,0.611433,0.219295,0.161666,0.072755,,
92,9038734433,0.10907,0.319878,5.959635,0.240602,5.255207,0.621413,0.269089,0.158682,0.211307,,
93,9073861905,0.14,0.270053,5.956459,0.341476,3.889583,0.625756,0.210448,0.112151,0.120096,,
94,9106841181,0.101191,0.324607,5.966679,0.237998,3.895427,0.616933,0.274848,0.253177,0.118603,,
95,9140054732,0.150453,0.430282,5.867248,0.245136,3.975152,0.620215,0.213803,0.114747,0.120164,,
96,9173900853,0.100432,0.325789,5.835047,0.244966,4.776958,0.61753,0.252857,0.154367,0.07012,,
97,9208377905,,,,,,,,0.151872,0.115763,,
98,9216503173,,,,,,,,0.176797,0.187267,,
99,9217128957,0.104075,0.323977,5.872382,0.287338,3.974849,0.658602,0.234013,0.162098,0.086285,,
100,9241412284,0.148711,0.258316,5.856218,0.33362,3.715684,0.66312,0.291184,0.155746,0.07174,,
101,9274943518,0.060965,0.286657,5.918255,0.305802,3.524641,0.616203,0.226172,0.169288,0.069728,,0.3837
102,9310811030,0.138706,0.312384,5.835406,0.255182,3.457899,0.621276,0.213197,0.195935,0.132237,,
103,9342088213,0.146338,0.271409,6.733373,0.24085,3.836672,0.626313,0.218561,0.168037,0.110875,,
104,9377224722,0.179246,0.32716,5.836354,0.248937,4.059826,0.622084,0.263905,0.170848,0.16023,,
105,9410328625,0.169507,0.269065,6.027453,0.290584,3.933376,0.61753,0.319793,0.112723,0.122403,,
106,9444140448,0.101545,0.32045,5.867915,0.247365,3.998222,0.661759,0.271826,0.173363,0.072465,,
107,9479126979,0.146279,0.272441,5.844956,0.302951,3.503733,0.783538,0.250987,0.112734,0.113823,,
108,9511261635,0.163495,0.329449,6.654973,0.247522,3.500359,0.655911,0.224431,0.157946,0.115873,,
109,9545655092,0.150794,0.267964,5.947588,0.342962,3.915437,0.643665,0.272835,0.156372,0.071492,,
110,9579200836,0.098319,0.314866,5.894623,0.296864,3.89193,0.623542,0.21339,0.114552,0.118815,,
111,9612759504,0.14626,0.358014,5.972349,0.247437,4.005542,0.656234,0.216481,0.163703,0.115696,,
112,9647142691,0.14783,0.269978,5.83894,0.297445,3.890166,0.619048,0.217908,0.171717,0.10634,,
113,9682756858,0.177444,0.275539,5.841401,0.296305,3.904408,0.61631,0.214524,0.157263,0.204042,,
114,9714114648,0.147552,0.267389,5.825331,1.125679,3.454637,0.623685,0.209657,0.160446,0.069865,,
115,9748265869,0.102344,0.324635,5.881533,0.293803,3.51365,0.625431,0.230874,0.197783,0.115423,,
116,9781341811,0.138363,0.255989,5.912388,0.24311,4.032129,0.653274,0.319222,0.157297,0.110664,,
117,9815571964,0.154668,0.272147,5.858582,0.295659,3.870428,0.61984,0.220159,0.162593,0.072579,,
118,9850936883,0.104746,0.338112,5.853395,0.28945,3.956039,0.609358,0.292238,0.300227,0.073733,,
119,9883090159,0.144367,0.277328,5.877241,0.298841,3.860925,0.628702,0.208748,0.154516,0.071906,,
