Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
89,856319716,0.060671,0.072285,,0.056895,,,,,,,,,,
90,878504914,0.105149,0.103325,,0.236889,,,,,,,,,,
91,878925830,0.034111,0.055775,,0.026591,,,,,,,,,,
92,879056418,0.025567,0.038783,,0.025567,,,,,,,,,,
93,880988169,0.035615,0.064222,,0.032767,,,,,,,,,,
94,881154404,0.044031,0.036831,,0.039231,,,,,,,,,,
95,881392445,0.031327,0.046399,,0.029375,,,,,,,,,,
96,902803553,0.101725,0.104092,,0.060031,,,,,,,,,,
97,903149495,0.035039,0.046974,,0.027743,,,,,,,,,,
98,903281075,0.024192,0.041022,,0.034143,,,,,,,,,,
99,903740550,0.027807,0.034591,,0.023103,,,,,,,,,,
100,903859938,0.029951,0.031295,,0.02192,,,,,,,,,,
101,904727784,0.035423,0.048158,,0.027008,,,,,,,,,,
102,905897798,0.07955,0.072926,,0.07075,,,,,,,,,,
103,906167358,0.050335,0.072734,148.374383,0.050302,0.087838,0.145659,,,,,,,,
104,909458588,0.073149,0.088894,148.564297,0.04579,0.081726,0.083165,,,,,,,,
105,909872080,0.05043,0.063326,148.799042,0.033311,0.083613,0.120797,0.106557,,,,,,,
106,910347202,0.030879,0.035263,,0.025279,,,,0.324887,0.3765,,,,,
107,910915121,0.040447,0.074078,,0.034527,,,,,,,,,,
108,911055981,0.026752,0.033727,146.927321,0.045374,,,,,,,,,,
109,911198920,0.023807,0.030815,,0.023648,,0.1391,,,,,,,,
110,911291782,0.026591,0.039807,,0.049758,0.115517,,,,,,,,,
111,911483680,0.026271,0.033183,,0.026431,,,,,,,,,,
112,911618460,0.035647,0.033631,147.278511,0.026783,,,,,,,,,,
113,911761112,0.023935,0.052959,,0.025727,0.119868,0.182427,,,,,,,,
114,912099598,0.106301,0.045311,,0.024863,,,,,,,,,,
