Frame,ts,capsfilter0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,pay0
99,14398742631,0.182972,14.878127,35.355612,0.819484,8366.840385,0.883357
100,14708628565,0.18125,25.76331,31.361926,0.804246,,0.458729
101,15014420660,0.188145,6.549137,35.001792,0.853276,,0.535571
102,15150032205,0.179419,14.828088,54.848815,8.846178,,0.531734
103,15233849844,0.181935,6.907906,30.620643,0.780364,8830.161353,1.760149
104,15707953009,0.196678,6.837922,30.606146,0.758902,,0.505849
105,15777635216,0.172883,6.765649,35.061817,0.941666,,0.555035
106,15838037725,0.189395,6.958457,31.319228,0.861686,,0.484899
107,16080730105,0.19571,11.361587,39.778537,0.781036,8924.133996,0.71436
108,16403092156,0.167635,6.867751,15.347442,0.254716,,0.156301
109,16791500005,0.045394,3.263075,9.274599,0.238138,,0.173701
110,16975497032,0.045612,2.093395,11.53514,0.233924,,0.158348
111,16994293171,0.073323,2.517323,9.38788,0.239906,9662.310721,0.211678
112,17742408814,0.07345,2.171763,11.40419,0.232845,,0.149165
113,17842137008,0.046321,2.120893,11.36944,0.27553,,0.164952
114,17981078039,0.045978,2.049322,10.70994,0.229549,,0.148331
115,18341746867,0.045453,7.059399,10.021,0.287388,9662.888455,0.214469
116,18499330073,0.044532,2.407398,13.076266,0.282557,,0.151536
117,18832442391,0.045844,2.079974,10.776755,0.270911,,0.127467
118,19015344737,0.046549,2.053765,11.1336,0.269755,,0.122073
119,19033303996,0.044509,2.07662,10.842824,0.232758,10231.12892,0.723253
120,19784000562,0.179878,7.006063,30.873673,0.760105,,0.453254
121,19857201256,0.181651,6.729205,35.055929,0.800033,,0.459259
122,19913068122,0.193993,6.783748,32.135459,0.901364,,0.47765
123,20485055185,0.200132,6.895805,31.504993,0.819183,10285.648681,0.63767
124,20539285814,0.192978,6.704867,30.5209,0.773752,,0.432652
125,20594863212,0.184802,10.850166,30.533378,0.868287,,0.516929
126,20867524502,0.186341,14.87114,49.516917,0.817341,,0.478358
127,21047482334,0.181459,11.31297,37.163598,0.867484,10290.723924,0.93651
128,21286284800,0.192116,10.857049,31.368445,0.805308,,0.52432
129,21577535645,0.187191,6.623227,31.082285,0.803606,,0.534712
130,21645870116,0.184334,6.738549,30.65999,0.765102,,0.458481
131,21697178912,0.177561,6.92423,36.560454,0.780371,10689.581531,0.677543
132,22545484398,0.181876,6.738722,30.540218,0.77429,,0.476521
133,22617324485,0.204514,6.732007,35.045973,0.78168,,0.474283
134,22673158556,0.202419,6.752663,34.869282,0.811385,,0.50026
135,23302816127,0.167515,6.853786,31.526995,0.785113,10653.067244,0.668718
136,23357113919,0.197372,6.83918,30.873676,0.816749,,0.461228
137,23412942582,0.269417,7.031878,32.030199,0.78903,,0.504572
138,23643567256,0.200691,6.905342,39.033828,0.77991,,0.444052
139,23999311618,0.186982,9.367195,34.681278,0.768103,9993.764971,0.681535
140,24056805794,0.195627,6.89093,35.481185,0.808801,,0.451995
