Frame,ts,capsfilter0,queue0,tcamconvert0,videoconvert0,capsfilter1,x264enc0,queue1,pay0
82,13550055185,0.030662,297.144701,13.075654,35.765049,0.831116,8700.077745,0.514041,0.222876
83,13835850862,0.128332,514.754099,8.227767,35.628962,1.235051,,0.647308,0.750889
84,14305190035,0.033201,754.762173,7.097921,34.882121,0.783993,,0.338841,0.316173
85,14412501118,0.055952,574.988866,7.226136,34.904744,0.749164,,0.414973,0.23659
86,14469667938,0.030507,161.565796,7.163886,30.696172,0.860994,9641.33911,3.105686,0.216717
87,15251940656,0.065203,838.928217,8.253464,31.197525,0.711597,,0.953412,0.313684
88,15402214092,0.03102,931.948716,7.110267,35.105153,0.816535,,0.411233,0.255981
89,15488176397,0.071815,236.183391,11.222331,36.92175,0.747066,,1.982732,0.231906
90,15719486256,0.032454,316.957692,14.393433,34.789605,0.906208,10260.519523,0.346601,0.277673
91,15989142340,0.032203,500.508152,6.918243,46.386841,0.807631,10501.477619,0.745232,0.326997
92,16474742243,0.03219,754.833688,10.997935,39.426425,1.400348,,0.658641,0.253156
93,16597539491,0.030994,608.166435,6.934363,32.543237,0.275957,10205.062579,0.387836,0.302763
94,16647632873,0.058601,172.886562,6.896456,41.453992,0.718418,,0.648653,0.260444
95,17114210146,0.034037,516.17357,7.082863,37.569734,0.810157,10818.404727,0.51249,0.521986
96,17394365452,0.030911,746.430073,6.788499,35.625037,0.873088,10220.550825,0.685133,0.288917
97,17967474540,0.032195,853.29996,6.777402,30.349491,0.765603,10244.470045,0.588376,0.259457
98,18066797840,0.037198,672.018508,7.253243,38.877741,0.901812,10176.572697,0.681105,0.758972
99,18171366344,0.031705,203.428201,7.016727,30.647706,0.851482,,0.554126,0.273462
100,18588471095,0.031221,521.354418,7.133263,35.951648,0.77298,10282.679574,0.491027,0.264115
101,18653685211,0.098506,473.623142,11.271754,31.35494,0.784222,,9.71103,0.140032
102,19271403394,0.032001,682.561886,11.501641,31.625127,0.781498,10900.910563,0.424441,0.263426
103,19729351507,0.060147,1075.697441,6.906891,31.090192,0.939727,,0.691609,0.256796
104,19861545594,0.032812,589.531364,7.22577,35.401984,0.753743,,0.427121,0.323619
105,20036352621,0.064705,306.500928,11.310041,40.991798,0.801235,,0.604064,0.233496
106,20242969600,0.031495,380.801045,11.633895,36.615545,0.883594,10661.372628,0.505855,0.299012
107,20351487422,0.032399,314.664436,13.429951,32.399437,0.808394,,0.632987,0.287916
108,20505549716,0.032539,262.287311,10.803299,43.808852,0.724862,,0.369876,0.281794
109,20665652357,0.063497,313.644823,10.371753,22.341615,0.269578,,0.390425,0.293725
110,20704852268,0.029064,199.460181,2.102638,9.411751,0.218248,10411.745936,2.310193,0.22202
111,21057907700,0.032141,390.32633,1.929013,14.751015,0.231458,,10.434639,0.219386
112,21216389530,0.030717,508.965789,2.159394,10.114666,0.2867,,3.744073,0.244645
113,21272737495,0.030016,203.839979,2.157752,11.64228,0.270984,,7.273267,0.230504
114,21419058325,0.074295,198.614477,2.156117,23.472769,0.278625,10453.537354,4.923664,0.221429
115,21773867495,0.063319,493.574782,2.116762,10.841553,0.231029,,6.661016,0.248499
116,22074180903,0.249081,651.022896,2.205043,13.298823,0.269923,,1.955733,0.411327
117,22122514634,0.123843,343.468031,2.000429,10.738652,0.240003,,0.53273,0.74072
118,22166928157,0.123807,92.380069,2.4331,10.671949,0.230325,10615.003206,0.553547,0.722133
119,22592280359,0.138441,467.347245,2.109189,9.381221,0.23632,,0.949064,0.712326
120,22881591048,0.110205,712.589101,6.237047,11.411654,0.258233,,0.6047,0.756899
121,22977993867,0.121011,383.193072,2.131052,10.868131,0.208879,,0.53369,0.738552
122,22995746267,0.123433,112.168108,2.183079,10.20858,0.235105,10890.438457,0.499552,0.74384
123,24119637497,0.137287,1132.660611,18.128693,32.451801,0.777955,,8.196154,0.663181
124,24182354046,0.133639,1182.011906,9.797296,45.530831,0.814642,,3.558629,0.546555
125,24255435262,0.104655,135.407234,6.857312,35.29524,0.774568,,6.840445,0.737207
126,24493927039,0.08896,306.884082,10.796873,37.378272,0.820042,10886.783674,4.054193,0.175078
127,24769742416,0.032832,513.499209,7.013183,48.596045,0.769522,,0.673068,0.26258
128,24987157548,0.03226,493.221139,7.059592,40.357794,0.743546,,0.329228,0.263558
129,25219874990,0.094929,447.265849,2.16945,9.965264,0.237043,,4.715923,0.134769
130,25241928531,0.055788,255.010572,2.062045,9.394824,0.233203,10662.262555,3.726585,0.219289
131,25955106578,0.037121,733.441825,6.824606,30.93353,0.884338,,0.678822,0.25879
132,26028931196,0.061198,786.540859,7.446433,36.842134,0.909666,,0.364352,0.236986
133,26099052490,0.033865,143.443144,15.148156,58.706859,8.92946,,0.395177,0.234846
134,26848183693,0.030497,818.838409,8.430423,31.760041,0.808637,10858.593972,0.484437,0.232637
135,26902593003,0.071672,803.32022,7.219282,30.359301,0.756587,,0.628021,0.241935
136,26952957290,0.05505,104.549747,7.055263,31.053169,0.801571,,0.325189,0.279779
137,27558499192,0.030812,655.447691,7.21453,32.348554,0.788935,,0.433818,0.338145
138,27610974855,0.063906,657.109988,7.190225,30.890187,0.843657,10503.760584,0.367401,0.238685
139,27664136456,0.031885,105.301512,6.994216,30.869777,0.813895,,0.866896,0.257705
140,27987646799,0.098608,375.849576,8.114163,40.549558,0.727623,,1.1764,0.550187
141,28097783299,0.102903,432.921358,15.996044,9.633259,0.218455,,4.686571,0.595457
142,28127986450,0.030284,140.655507,2.188952,9.254355,0.254783,10315.903053,0.639973,0.729674
143,28528131972,0.092655,428.119831,2.036638,9.766647,0.229924,,2.322908,0.692483
